task,pair_mean,pair_std,correct_shifts_mean,correct_shifts_std,false_positives_mean,false_positives_std,false_negatives_mean,false_negatives_std,total_predictions_mean,total_predictions_std,total_ground_truth_mean,total_ground_truth_std,precision_mean,precision_std,recall_mean,recall_std,f1_mean,f1_std,avg_time_difference_mean,avg_time_difference_std,pred_mean_duration_mean,pred_mean_duration_std,pred_median_duration_mean,pred_median_duration_std,pred_std_duration_mean,pred_std_duration_std,gt_mean_duration_mean,gt_mean_duration_std,gt_median_duration_mean,gt_median_duration_std,gt_std_duration_mean,gt_std_duration_std
beach,10.5,1.783765170031689,271.4166666666667,47.607215521357354,186.16666666666666,33.988857354174534,478.9166666666667,47.32951862562448,457.5833333333333,43.63788665271443,750.3333333333334,86.38532423059047,0.5916775506443394,0.070465330431113,0.36020225744660733,0.028270061975549522,0.4468042720888164,0.03737830312985697,0.3516916051195719,0.030122668845835296,1.3577239375343624,0.14057697662753812,0.6766666666666702,0.11080969216990455,1.7622569394535132,0.21266011239547047,1.2717069495718556,0.13856824087479763,0.8774720323027102,0.11763670698926267,1.1787591377462199,0.11708735498470618
boat,3.6666666666666665,2.059714602177749,202.41666666666666,44.73245381423228,300.25,36.7723339680057,195.08333333333334,43.56073781271247,502.6666666666667,52.94136264574118,397.5,76.61651851324824,0.40044643352057036,0.06611068803340964,0.5089669020721801,0.051778875762422995,0.44566372982072483,0.05429816083945154,0.33981340587842923,0.02910100065623154,1.4816415599207398,0.09110609423585998,0.6583333333333392,0.09281784050037671,2.068371975574274,0.2822708505394816,1.3558567240950212,0.1663562815253176,0.9770412523433668,0.18900556778698582,1.159681033997866,0.13332030909131468
desert,3.6666666666666665,2.059714602177749,205.33333333333334,59.075196046046166,258.5833333333333,75.10411964651996,178.0,29.359836511806403,463.9166666666667,83.54036404183564,383.3333333333333,48.41737729619835,0.44441565765409946,0.10748291777221278,0.5291046372895815,0.09439919582443823,0.48022077722075734,0.09698390847921096,0.34858746514991507,0.04378137054847955,1.5250651876197505,0.11277823162107874,0.7150000000000022,0.0938567573970716,2.068310912160222,0.21189863792914576,1.3268957210876071,0.1197477443307934,0.9396709331655112,0.12992737508947869,1.1620065492248701,0.11374581794103424
farm,10.5,1.783765170031689,261.75,38.69490217774758,205.91666666666666,25.991111534289537,482.5833333333333,37.7249816755985,467.6666666666667,41.72710767776164,744.3333333333334,56.26452674373942,0.5585885519668401,0.0535896663052394,0.3507785780769584,0.03607028875216066,0.42996622729267225,0.03728039147777175,0.5198610852986317,0.0910391497934007,1.3726155789266772,0.12804806436020413,0.6300000000000132,0.05291502622129423,1.9647438529994659,0.3376149233403422,1.2810964288111628,0.08852855567391521,0.8891011681929797,0.10848325154160471,1.1737002261572405,0.08322443281911292
nuclear,3.6666666666666665,2.059714602177749,174.08333333333334,62.07101260701816,236.41666666666666,99.6507157601748,151.25,53.19454004791367,410.5,152.9607792867178,325.3333333333333,111.95074674592259,0.4375092642896574,0.06480856255340506,0.5375638185974685,0.04341233696054475,0.4804096351220739,0.05121444683119477,0.33835936868483735,0.036130090957243906,1.5159671832799668,0.09210755511958153,0.6766666666666691,0.0737727879534487,2.1747313049356225,0.2598579553603622,1.359462874910548,0.11757362427261979,0.9476818208472887,0.1164949678223954,1.171035622683455,0.11529632724953484
park,10.5,1.783765170031689,265.9166666666667,73.92927619548212,194.41666666666666,27.30120987440045,474.4166666666667,49.30693908999261,460.3333333333333,93.0017920974286,740.3333333333334,117.32420763410123,0.5687175856865427,0.06063028124902701,0.35250727336094095,0.05424791127615725,0.43442809964485396,0.0571612908965963,0.47301414921125656,0.11671287468663971,1.4424403837175461,0.4019970690965419,0.6683333333333342,0.07505553499465739,2.0932245683600748,0.7764474507131315,1.3296910609699544,0.2796153257756908,0.9221530934353318,0.19641071595325676,1.2338475954801937,0.2998986970157277
space,3.6666666666666665,2.059714602177749,172.58333333333334,52.664389095363845,261.8333333333333,78.50516292614523,173.41666666666666,39.378024174389296,434.4166666666667,79.01375982969196,346.0,81.90904046007932,0.40078108926567335,0.11486861572450001,0.493985558997794,0.06668567519959913,0.43845099104308205,0.0901095542003646,0.3350371043909171,0.04505266337238974,1.571980235936038,0.19687857796608202,0.6916666666666623,0.13141421905447745,2.3223283530461516,0.4186721214230781,1.402308805147591,0.15789965607228873,1.0314989095247806,0.13023857513929094,1.1912230086682107,0.18068187072170064
street,10.5,1.783765170031689,243.0,76.78304737138507,194.91666666666666,45.951473086157726,453.8333333333333,46.12203837909188,437.9166666666667,108.49504247855863,696.8333333333334,112.44459915348482,0.5449823310698013,0.08625053053617245,0.3393046450680351,0.07008283330708856,0.41641798292312454,0.0739952373837737,0.42720410018332183,0.09202278292676111,1.5831842964007379,0.5486743280037457,0.7266666666666731,0.1845551572311305,2.1387790715339166,0.8423714725542493,1.3469229136344214,0.27141074063203624,0.9205940070281464,0.22448267405425437,1.2844432473466798,0.2712379391859183
