filename,pair,speaker,task,delay,delay_ms,correct_shifts,false_positives,false_negatives,total_predictions,total_ground_truth,precision,recall,f1,avg_time_difference,pred_mean_duration,pred_median_duration,pred_std_duration,gt_mean_duration,gt_median_duration,gt_std_duration,source_folder
01_S01_boat_d1500_conversation.csv,1,S01,boat,d1500,1500,139,324,138,463,277,0.3002159827213823,0.5018050541516246,0.3756756756756756,0.357859099298288,1.5079481641468686,0.7199999999999704,2.0403503863936927,1.7024501252548478,1.3600000000000136,1.342904229521219,01
01_S01_desert_d0000_conversation.csv,1,S01,desert,d0000,0,174,307,152,481,326,0.3617463617463617,0.5337423312883436,0.4312267657992565,0.3546145694147443,1.4687318087318053,0.7000000000000455,1.901804005372528,1.5280767378605824,1.1000000000000227,1.3056585648947696,01
01_S01_nuclear_d0500_conversation.csv,1,S01,nuclear,d0500,500,189,347,159,536,348,0.3526119402985074,0.5431034482758621,0.4276018099547511,0.4125290489591473,1.4247014925373116,0.5800000000000018,2.117342811765511,1.5905161404863914,1.160000000000025,1.3934563344151332,01
01_S01_space_d1000_conversation.csv,1,S01,space,d1000,1000,121,351,177,472,298,0.2563559322033898,0.4060402684563758,0.3142857142857143,0.4072760451232665,1.5074999999999996,0.5600000000000023,2.6465517419618574,1.700952334930121,1.1999999999999886,1.4575471222519802,01
01_S02_boat_d1500_conversation.csv,1,S02,boat,d1500,1500,126,299,151,425,277,0.2964705882352941,0.4548736462093863,0.358974358974359,0.339779129718518,1.642823529411766,0.6200000000000045,2.244458489265194,1.7024501252548478,1.3600000000000136,1.342904229521219,01
01_S02_desert_d0000_conversation.csv,1,S02,desert,d0000,0,178,292,148,470,326,0.3787234042553191,0.5460122699386503,0.4472361809045225,0.340454246023597,1.5062553191489354,0.7199999999999989,1.9349579188132455,1.5280767378605824,1.1000000000000227,1.3056585648947696,01
01_S02_nuclear_d0500_conversation.csv,1,S02,nuclear,d0500,500,174,338,174,512,348,0.33984375,0.5,0.4046511627906977,0.325691943312526,1.4924218750000016,0.6000000000000014,2.295381315712377,1.5905161404863914,1.160000000000025,1.3934563344151332,01
01_S02_space_d1000_conversation.csv,1,S02,space,d1000,1000,120,338,178,458,298,0.2620087336244541,0.4026845637583892,0.3174603174603174,0.3182419974438708,1.5549344978165949,0.5799999999999841,2.783125166858189,1.7009523349301212,1.1999999999999886,1.4575471222519802,01
02_S03_boat_d0500_conversation.csv,2,S03,boat,d0500,500,232,291,252,523,484,0.4435946462715105,0.4793388429752066,0.4607745779543197,0.349523239871663,1.5061567877629054,0.6399999999999864,2.2393206832977577,1.276799632650837,0.8199999999999363,1.1720498838964766,02
02_S03_desert_d1500_conversation.csv,2,S03,desert,d1500,1500,145,269,225,414,370,0.3502415458937198,0.3918918918918919,0.3698979591836734,0.4260950007794813,1.4722222222222228,0.5799999999999841,2.1457632424492386,1.2154338346391935,0.7057376047364983,1.235071542912403,02
